id,carat,cut,color,clarity,depth,table,x,y,z,price
5030,0.72,Ideal,D,SI2,61.2,58.0,5.79,5.83,3.56,2671
29027,0.71,Ideal,D,SI2,61.4,57.0,5.71,5.74,3.52,2415
22709,0.31,Very Good,G,VS2,61.4,58.0,4.32,4.35,2.67,544
8410,0.55,Ideal,F,VS1,61.5,56.0,5.28,5.32,3.26,1978
17867,0.7,Very Good,E,VS1,60.4,62.0,5.67,5.71,3.42,3145
9544,0.91,Ideal,H,SI2,61.2,56.0,6.27,6.21,3.82,3780
24106,0.36,Ideal,H,VVS1,61.2,57.0,4.58,4.6,2.81,1064
3728,0.7,Very Good,F,I1,62.9,54.0,5.64,5.71,3.57,7286
2966,1.01,Premium,G,SI1,60.1,60.0,6.48,6.45,3.89,5096
25437,1.02,Ideal,E,SI2,62.6,57.0,6.41,6.43,4.02,4764
27811,0.72,Very Good,G,SI1,62.5,58.0,5.71,5.74,3.58,2462
10624,0.34,Premium,D,SI1,61.0,58.0,4.56,4.51,2.76,1094
20027,1.03,Ideal,G,VS2,61.0,57.0,6.55,6.52,3.99,5405
16833,1.0,Good,I,SI1,64.2,55.0,6.32,6.27,4.04,3981
19917,1.43,Ideal,F,SI2,62.1,55.0,7.29,7.24,4.49,7817
10739,0.7,Premium,F,SI1,62.6,59.0,5.7,5.64,3.55,2312
29482,1.33,Premium,J,VS1,61.5,58.0,7.12,7.06,4.34,6147
25127,0.51,Ideal,D,VS1,61.5,54.0,5.16,5.18,3.18,1985
27982,1.04,Very Good,D,SI1,63.0,57.0,6.44,6.47,4.07,8861
28778,0.39,Ideal,F,VS1,62.0,55.0,4.68,4.73,2.92,921
20498,0.3,Ideal,F,VS2,62.0,53.3,4.29,4.32,2.67,601
17837,1.1,Very Good,G,VS2,63.1,57.0,6.53,6.58,4.13,6593
20604,0.5,Ideal,H,SI1,61.1,56.0,5.11,5.15,3.13,1176
26331,0.76,Very Good,E,SI1,59.7,58.0,5.96,5.95,3.55,3005
24486,0.35,Premium,G,SI1,62.6,58.0,4.47,4.45,2.79,630
23491,1.0,Very Good,G,VVS2,60.9,59.0,6.51,6.48,3.96,8818
14875,0.4,Ideal,F,VVS2,62.9,56.0,4.71,4.69,2.95,1016
3941,1.01,Premium,F,SI1,62.7,60.0,6.4,6.34,4.0,4679
28454,0.32,Ideal,D,VS2,61.2,56.0,4.41,4.44,2.71,1002
95,0.59,Very Good,E,VVS2,61.1,57.0,5.43,5.46,3.33,2314
6279,0.34,Ideal,D,VS2,61.0,56.0,4.49,4.52,2.75,805
23045,1.01,Ideal,H,VS2,61.6,54.0,6.47,6.54,4.01,4234
28561,0.9,Premium,E,SI1,63.0,58.0,6.19,6.09,3.88,3856
23726,2.01,Very Good,H,SI1,62.9,59.0,8.01,8.05,5.01,16723
11765,1.51,Premium,G,VS2,61.8,56.0,7.37,7.32,4.54,12872
18273,1.01,Very Good,G,VS2,62.8,61.0,6.32,6.36,3.98,5639
12426,1.0,Premium,H,SI2,62.1,58.0,6.39,6.34,3.96,3420
15274,0.3,Ideal,H,IF,61.9,57.0,4.28,4.31,2.66,789
962,0.4,Fair,E,SI1,64.7,55.0,4.7,4.67,3.01,882
17549,1.14,Very Good,I,SI1,63.5,57.0,6.64,6.59,4.2,4872
19287,0.41,Ideal,G,SI1,61.0,57.0,4.81,4.78,2.92,879
27174,0.78,Ideal,E,SI2,62.9,56.0,5.88,5.83,3.67,2507
13494,0.9,Ideal,D,SI2,62.0,57.0,6.15,6.21,3.84,3394
24079,1.01,Premium,E,SI1,59.9,60.0,6.56,6.5,3.91,5174
11175,1.1,Premium,G,VS2,62.4,59.0,6.59,6.56,4.1,6108
6808,0.85,Ideal,I,SI1,61.8,57.0,6.08,6.1,3.78,2964
18185,0.31,Ideal,I,VS2,61.6,54.0,4.38,4.37,2.7,558
22960,0.31,Ideal,I,VVS2,62.3,54.0,4.34,4.37,2.71,571
25158,0.33,Ideal,E,SI1,62.1,54.0,4.43,4.46,2.77,579
26475,0.31,Good,H,IF,63.1,55.0,4.32,4.28,2.72,1046
21086,0.34,Very Good,E,VS1,63.0,57.0,4.39,4.42,2.77,745
18317,0.32,Ideal,G,VVS1,61.7,55.0,4.38,4.37,2.7,1080
28957,1.0,Premium,F,SI1,63.0,58.0,6.34,6.3,3.98,5241
9500,0.7,Ideal,D,SI1,62.3,56.0,5.68,5.65,3.53,2575
2349,1.0,Very Good,E,SI2,62.4,57.0,6.4,6.37,3.98,4028
29462,1.01,Premium,E,SI1,61.3,58.0,6.45,6.49,3.96,5430
26556,0.7,Good,I,SI2,63.6,65.0,5.61,5.54,3.55,1814
10244,0.31,Very Good,E,SI1,62.9,59.0,4.31,4.34,2.72,544
8828,1.5,Premium,E,VS2,59.5,57.0,7.54,7.49,4.45,15575
8810,0.33,Ideal,F,SI2,60.9,57.0,4.5,4.52,2.74,572
2621,1.5,Premium,E,SI2,62.1,59.0,7.31,7.27,4.52,10483
15974,0.51,Very Good,E,SI1,63.1,57.0,5.06,5.07,3.2,1304
9635,0.27,Ideal,I,VVS2,61.6,57.0,4.15,4.17,2.55,527
14281,1.5,Premium,E,VS2,62.0,58.0,7.34,7.31,4.55,8339
